Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2022-06-23,NASDAQ BX (B),24410558,18113954,22630841,65155353,1061279146.000100,1257686719.193200,1208847201.108800,3527813066.302100,523461,144472,434284,1102217
2022-06-23,NYSE National (C),48533314,30407509,32797742,111738565,943522861.407800,1191396105.867800,803564181.704400,2938483148.980000,461679,155156,333345,950180
2022-06-23,FINRA / Nasdaq TRF Chicago (DB),8189780,3072202,12265779,23527761,287129158.411400,147538890.020000,765279524.874300,1199947573.305700,36577,10755,58603,105935
2022-06-23,FINRA / NYSE TRF (DN),270220771,125208221,521618611,917047603,8608555147.584204,5072489309.154397,15784617222.420999,29465661679.159600,1386486,295784,1539709,3221979
2022-06-23,FINRA / Nasdaq TRF Carteret (DQ),1610395598,783896124,2003500624,4397792346,61370512918.751088,44640325224.919606,73316469230.073155,179327307373.743849,7723816,2148461,7276396,17148673
2022-06-23,MIAX Pearl (H),46788591,33573509,36381769,116743869,1034112700.066600,1542376905.383200,1279519212.661000,3856008818.110800,405743,145510,365745,916998
2022-06-23,EDGA Equities (J),81405062,40338887,60380229,182124178,2758836566.615700,1998267059.986400,2385170433.430300,7142274060.032400,1125284,305308,849874,2280466
2022-06-23,EDGX Equities (K),272704224,117737471,307789068,698230763,8965714762.493598,6280657105.545201,11331772563.086001,26578144431.124800,2439634,669766,2151356,5260756
2022-06-23,LTSE (L),48571,4408,64607,117586,2708401.960000,141039.160000,9791469.544500,12640910.664500,277,44,369,690
2022-06-23,NYSE Chicago (M),12405044,11732186,12294746,36431976,740593677.272700,1191966993.367200,1524177956.099200,3456738626.739100,53532,5754,42280,101566
2022-06-23,NYSE (N),1093169803,50110136,84375218,1227655157,47362515226.200710,3168685743.669300,3271275204.560099,53802476174.430109,5204944,253123,709268,6167335
2022-06-23,NYSE Arca (P),273656446,388723205,405740446,1068120097,9588220241.531501,23100642165.255202,16185371827.594098,48874234234.380801,2664164,1679377,3518300,7861841
2022-06-23,NASDAQ (Q),584397806,250477359,1131444462,1966319627,23658547042.281304,15858246196.767607,55028500219.303201,94545293458.352112,7704694,1813768,9873235,19391697
